# D_of_C.csv —— 三族附录材料参数扩散系数（fig11(a) 的唯一数据源）
# 公式取自 02-代码/solver_q1.py（附录2）、solver_q23.py（附录3）、solver_q4.py（附录4）
# 附录2 D=7e-9*exp(-0.89/C)（只依赖 C）；附录3 D=2.4e-3*exp(-0.45/C)*exp(-3850/T)；
# 附录4 D=4.2e-4*exp(-0.30/C)*exp(-3850/T)；T 开尔文、C 干基含水率 kg/kg
# T_ref=301.15 K（初温）、T_hot=323.315 K（环境温度上界）；生成：python plot_all.py fig11
C_kg_kg,D_apx2_m2_s,D_apx3_Tref_m2_s,D_apx4_Tref_m2_s,D_apx3_Thot_m2_s,D_apx4_Thot_m2_s
0.15,1.8547446e-11,3.3509291e-10,1.5940347e-10,8.0500049e-10,3.8293819e-10
0.16,2.6874165e-11,4.041992e-10,1.8062779e-10,9.7101595e-10,4.3392581e-10
0.17,3.7276806e-11,4.7692012e-10,2.0169016e-10,1.1457149e-09,4.8452436e-10
0.18,4.9860095e-11,5.524748e-10,2.2246546e-10,1.3272214e-09,5.3443329e-10
0.19,6.4680185e-11,6.301682e-10,2.4286146e-10,1.5138659e-09,5.8343101e-10
0.2,8.1749969e-11,7.0939169e-10,2.6281189e-10,1.7041861e-09,6.3135833e-10
0.21,1.0104543e-10,7.8961911e-10,2.8227086e-10,1.896918e-09,6.7810501e-10
0.22,1.2251223e-10,8.7040035e-10,3.0120833e-10,2.0909804e-09,7.2359889e-10
0.23,1.4607208e-10,9.5135386e-10,3.1960655e-10,2.2854567e-09,7.6779729e-10
0.24,1.7162847e-10,1.0321588e-09,3.3745714e-10,2.4795761e-09,8.1068015e-10
0.25,1.9907177e-10,1.1125476e-09,3.5475894e-10,2.6726958e-09,8.5224461e-10
0.26,2.2828355e-10,1.1922989e-09,3.7151616e-10,2.8642839e-09,8.9250082e-10
0.27,2.5914018e-10,1.2712312e-09,3.8773705e-10,3.0539045e-09,9.3146859e-10
0.28,2.9151574e-10,1.3491971e-09,4.0343281e-10,3.2412036e-09,9.6917482e-10
0.29,3.2528441e-10,1.4260786e-09,4.1861672e-10,3.4258975e-09,1.0056515e-09
0.3,3.6032225e-10,1.5017822e-09,4.3330355e-10,3.6077619e-09,1.0409339e-09
0.31,3.9650858e-10,1.5762359e-09,4.4750897e-10,3.7866234e-09,1.0750599e-09
0.32,4.3372705e-10,1.6493851e-09,4.6124923e-10,3.9623513e-09,1.1080684e-09
0.33,4.7186632e-10,1.7211905e-09,4.7454081e-10,4.1348508e-09,1.139999e-09
0.34,5.1082056e-10,1.7916252e-09,4.8740021e-10,4.3040576e-09,1.1708914e-09
