t_s,R_data_cm,R_pred_cm,residual_mm,R_ideal_cm,collapse_term_cm,pore_term_cm,V_pore_frac_pct
0.000000000000000000e+00,2.000000000000000000e+00,1.999999940936807885e+00,-5.906319218429434414e-07,1.999999944309391431e+00,-1.686291759590156729e-07,0.000000000000000000e+00,2.122041526460294954e-07
1.800000000000000000e+03,1.872999999999999998e+00,1.879108552506778107e+00,6.108552506777983893e-02,1.941142106740066708e+00,-3.195724517947179599e+00,0.000000000000000000e+00,-5.352426011052567212e+00
3.600000000000000000e+03,1.794000000000000039e+00,1.786611800231608260e+00,-7.388199768391945366e-02,1.894640652169044426e+00,-5.701812204533956319e+00,0.000000000000000000e+00,-8.929906247883879544e+00
5.400000000000000000e+03,1.703000000000000069e+00,1.708229488028868648e+00,5.229488028868703453e-02,1.850331499113834877e+00,-7.679813652473719721e+00,0.000000000000000000e+00,-1.122053954995938163e+01
7.200000000000000000e+03,1.625000000000000000e+00,1.641180885658206190e+00,1.618088565820616220e-01,1.806883290620202365e+00,-9.170620251024608649e+00,0.000000000000000000e+00,-1.247044691467104549e+01
9.000000000000000000e+03,1.589000000000000190e+00,1.585447721127711596e+00,-3.552278872288525124e-02,1.765169316625455842e+00,-1.018154993999811353e+01,0.000000000000000000e+00,-1.287355744046448436e+01
1.080000000000000000e+04,1.552000000000000046e+00,1.539769515391457677e+00,-1.223048460854241071e-01,1.725750770690703151e+00,-1.077683165251084496e+01,0.000000000000000000e+00,-1.266282112509023428e+01
1.260000000000000000e+04,1.510000000000000009e+00,1.501770981734042776e+00,-8.229018265957371847e-02,1.688210028010287633e+00,-1.104359310647980408e+01,0.000000000000000000e+00,-1.203198347742725893e+01
1.440000000000000000e+04,1.477000000000000091e+00,1.469753781134137460e+00,-7.246218865862748271e-02,1.652356760360938370e+00,-1.105106255545645233e+01,0.000000000000000000e+00,-1.112080172538103184e+01
1.620000000000000000e+04,1.447000000000000064e+00,1.442436511714778158e+00,-4.563488285221767304e-02,1.618124117357160330e+00,-1.085748637930989879e+01,0.000000000000000000e+00,-1.003454681005316473e+01
1.800000000000000000e+04,1.423999999999999932e+00,1.418831723766539765e+00,-5.168276233460077085e-02,1.585520837049051224e+00,-1.051320861810626539e+01,0.000000000000000000e+00,-8.854171020402461068e+00
1.980000000000000000e+04,1.397000000000000020e+00,1.398111067809787222e+00,1.111067809787293081e-02,1.554500321194000723e+00,-1.006041949634928301e+01,0.000000000000000000e+00,-7.638008763850577587e+00
2.160000000000000000e+04,1.374000000000000110e+00,1.379589166331937511e+00,5.589166331937227283e-02,1.524957117288042063e+00,-9.532592707565749279e+00,0.000000000000000000e+00,-6.425387426585227324e+00
2.340000000000000000e+04,1.356000000000000094e+00,1.362847554405225647e+00,6.847554405225476926e-02,1.496979323548263130e+00,-8.960161775989490707e+00,0.000000000000000000e+00,-5.250987191542731303e+00
2.520000000000000000e+04,1.336999999999999966e+00,1.347530837154702565e+00,1.053083715470259224e-01,1.470574815683855840e+00,-8.367066892270607070e+00,0.000000000000000000e+00,-4.136645777422923054e+00
2.700000000000000000e+04,1.320999999999999952e+00,1.333356268485933693e+00,1.235626848593365801e-01,1.445706752719066124e+00,-7.771319046675626119e+00,0.000000000000000000e+00,-3.094717031812201036e+00
2.880000000000000000e+04,1.310999999999999943e+00,1.320186604276053055e+00,9.186604276053070284e-02,1.422454512461063691e+00,-7.189538033667713712e+00,0.000000000000000000e+00,-2.136594914434511772e+00
3.060000000000000000e+04,1.298999999999999932e+00,1.307896109226877934e+00,8.896109226877967069e-02,1.400806749917091309e+00,-6.632652269537701706e+00,0.000000000000000000e+00,-1.265422620269445408e+00
3.240000000000000000e+04,1.290999999999999925e+00,1.296383220365985744e+00,5.383220365985826039e-02,1.380707794630623875e+00,-6.107343971879088507e+00,0.000000000000000000e+00,-4.794579048615936201e-01
3.420000000000000000e+04,1.280999999999999917e+00,1.285583326370839163e+00,4.583326370839226060e-02,1.362104054339972947e+00,-5.617832773151310022e+00,0.000000000000000000e+00,2.249433060835881737e-01
3.600000000000000000e+04,1.272999999999999909e+00,1.275433136216303609e+00,2.433136216303637134e-02,1.344902018802031307e+00,-5.165348970745621493e+00,0.000000000000000000e+00,8.540826110487031997e-01
3.780000000000000000e+04,1.266000000000000014e+00,1.265907906161345409e+00,-9.209383865470266439e-04,1.329046777168477966e+00,-4.750689358204356338e+00,1.011240095414209721e-06,1.413387367246501158e+00
3.960000000000000000e+04,1.260000000000000009e+00,1.257004690901618371e+00,-2.995309098381693236e-02,1.314466304815304909e+00,-4.373142652494428795e+00,1.740096566345969041e-03,1.910499496678143672e+00
4.140000000000000000e+04,1.252999999999999892e+00,1.248814740053572292e+00,-4.185259946427703770e-02,1.301066696676306478e+00,-4.030696247362092421e+00,1.522394226732910923e-02,2.360060678768682418e+00
4.320000000000000000e+04,1.247999999999999998e+00,1.241474181927261222e+00,-6.525818072738824582e-02,1.288762240880158227e+00,-3.721074549899193507e+00,5.381538822055283167e-02,2.778320083267267648e+00
4.500000000000000000e+04,1.243999999999999995e+00,1.235088866979351829e+00,-8.911133020648130676e-02,1.277488808427832412e+00,-3.442241011576522958e+00,1.276273729160968817e-01,3.177600091116064451e+00
