t_s,R_coupled_cm,U_mean,U_max
6.000000000000000000e+01,2.000000000000000000e+00,2.539509925451771011e+00,2.550282821986867177e+00
1.860000000000000000e+03,1.879523643598909999e+00,2.339231078565743083e+00,2.550000001223454049e+00
3.660000000000000000e+03,1.786989985429967120e+00,2.181449021512915643e+00,2.549999907715521097e+00
5.460000000000000000e+03,1.708471163990066710e+00,2.034259811266778240e+00,2.549797133901885005e+00
7.260000000000000000e+03,1.642058101508312662e+00,1.894978310366348451e+00,2.543775537127424435e+00
9.060000000000000000e+03,1.586568681143687209e+00,1.763883901756807315e+00,2.513219149436720645e+00
1.086000000000000000e+04,1.540439547253120711e+00,1.641101653763292090e+00,2.445919672488054086e+00
1.266000000000000000e+04,1.501993462366180587e+00,1.526432261048262573e+00,2.346514172452010438e+00
1.446000000000000000e+04,1.469711476094540004e+00,1.419534656788624449e+00,2.226436359050976588e+00
1.626000000000000000e+04,1.442240004099690998e+00,1.319805465566146863e+00,2.095535550874036090e+00
1.806000000000000000e+04,1.418538021736555965e+00,1.226881277678972371e+00,1.961276996941658579e+00
1.986000000000000000e+04,1.397792701635278245e+00,1.140477616323396060e+00,1.828964615688493778e+00
2.166000000000000000e+04,1.379362156560073105e+00,1.060293911368930919e+00,1.701750614658523508e+00
2.346000000000000000e+04,1.362752903986125697e+00,9.860292403892682023e-01,1.581377726370914338e+00
2.526000000000000000e+04,1.347593691242511715e+00,9.173840231205527829e-01,1.468688214861364028e+00
2.706000000000000000e+04,1.333610762475555100e+00,8.540585027663774031e-01,1.363962861748966970e+00
2.886000000000000000e+04,1.320606184102505187e+00,7.957521583515569930e-01,1.267140596895254046e+00
3.066000000000000000e+04,1.308439514176169105e+00,7.421645463213588645e-01,1.177958614602867993e+00
3.246000000000000000e+04,1.297012682858066146e+00,6.929970271623246969e-01,1.096040747221688871e+00
3.426000000000000000e+04,1.286257812814930013e+00,6.479548065376574684e-01,1.020952552455204554e+00
3.606000000000000000e+04,1.276127649687220922e+00,6.067489314933520728e-01,9.522352410492955777e-01
3.786000000000000000e+04,1.266588250952166428e+00,5.690980765770545791e-01,8.894263354307087033e-01
3.966000000000000000e+04,1.257630544094829217e+00,5.347302364643720107e-01,8.320724909344286990e-01
4.146000000000000000e+04,1.249347388352368027e+00,5.033861363844754910e-01,7.797414249853054091e-01
4.326000000000000000e+04,1.241879557405816348e+00,4.748227687754987270e-01,7.320303601396894733e-01
4.506000000000000000e+04,1.235331763013044926e+00,4.488126667750888532e-01,6.885640744459159412e-01
4.686000000000000000e+04,1.229747433360657505e+00,4.251415107900017309e-01,6.489899342142134708e-01
4.866000000000000000e+04,1.225109718602281239e+00,4.036062428264786672e-01,6.129742574155752077e-01
5.046000000000000000e+04,1.221353728179427112e+00,3.840142509581992991e-01,5.802007949615866078e-01
5.226000000000000000e+04,1.218382581738187032e+00,3.661834861699501120e-01,5.503708553749014909e-01
5.406000000000000000e+04,1.216083114169405732e+00,3.499431243033382377e-01,5.232042829575005438e-01
5.586000000000000000e+04,1.214338932494425372e+00,3.351343680176347983e-01,4.984405925042637575e-01
5.766000000000000000e+04,1.213039836291990303e+00,3.216110799204171533e-01,4.758397967331868816e-01
5.946000000000000000e+04,1.212087571604938852e+00,3.092400725709122389e-01,4.551827012758786761e-01
6.126000000000000000e+04,1.211398490401802697e+00,2.979010049067787325e-01,4.362706265720777132e-01
6.306000000000000000e+04,1.210903949703558746e+00,2.874859226047608018e-01,4.189246305001738668e-01
6.486000000000000000e+04,1.210549285517198648e+00,2.778985266639580898e-01,4.029843583149712583e-01
6.666000000000000000e+04,1.210292047934668158e+00,2.690532674809824054e-01,3.883066556125669977e-01
6.846000000000000000e+04,1.210099984581974653e+00,2.608743530919969134e-01,3.747640642847876458e-01
7.026000000000000000e+04,1.209949074280428194e+00,2.532947415089630283e-01,3.622432952708183884e-01
7.206000000000000000e+04,1.209821769863047347e+00,2.462551662272000341e-01,3.506437445538834186e-01
7.386000000000000000e+04,1.209705512749080336e+00,2.397032254753283520e-01,3.398760949889008676e-01
7.566000000000000000e+04,1.209591524311642630e+00,2.335925513507435269e-01,3.298610278587646993e-01
7.746000000000000000e+04,1.209473849186595285e+00,2.278820647494111395e-01,3.205280545204909903e-01
7.926000000000000000e+04,1.209348613411445283e+00,2.225353153205930634e-01,3.118144693370197840e-01
8.106000000000000000e+04,1.209213458159399179e+00,2.175199017000250534e-01,3.036644193049644613e-01
8.286000000000000000e+04,1.209067112863356330e+00,2.128069651966171816e-01,2.960280824547414369e-01
8.466000000000000000e+04,1.208909076685497297e+00,2.083707492812426343e-01,2.888609454547134137e-01
8.646000000000000000e+04,1.208739382900523740e+00,2.041882171750138697e-01,2.821231703166022231e-01
8.826000000000000000e+04,1.208558425987937834e+00,2.002387202281882550e-01,2.757790402572732891e-01
9.006000000000000000e+04,1.208366835724305588e+00,1.965037104018295400e-01,2.697964753328468968e-01
9.186000000000000000e+04,1.208165386251675688e+00,1.929664908757094399e-01,2.641466092314409542e-01
9.366000000000000000e+04,1.207954931025412959e+00,1.896119995258760682e-01,2.588034194656718689e-01
9.546000000000000000e+04,1.207736356818071899e+00,1.864266206982328200e-01,2.537434040680042746e-01
9.726000000000000000e+04,1.207510551694202405e+00,1.833980213277428273e-01,2.489452987158045361e-01
9.906000000000000000e+04,1.207278383184531068e+00,1.805150080077007890e-01,2.443898289741456842e-01
1.008600000000000000e+05,1.207040683872164122e+00,1.777674020994196025e-01,2.400594930324594922e-01
1.026600000000000000e+05,1.206798242336686089e+00,1.751459303934126410e-01,2.359383709232990844e-01
1.044600000000000000e+05,1.206551797944666937e+00,1.726421291947157766e-01,2.320119567503454716e-01
1.062600000000000000e+05,1.206302038377786490e+00,1.702482600142019853e-01,2.282670109234543332e-01
1.080600000000000000e+05,1.206049599084933588e+00,1.679572353111981886e-01,2.246914298072492655e-01
1.098600000000000000e+05,1.205795064063515332e+00,1.657625529568385880e-01,2.212741305433153505e-01
1.116600000000000000e+05,1.205538967535320083e+00,1.636582382780440714e-01,2.180049491110471749e-01
