t_s,R_data_cm,R_pred_cm,residual_mm
0,2.0000,1.9804,-0.1963
1800,1.8730,1.9396,0.6655
3600,1.7940,1.8806,0.8660
5400,1.7030,1.8265,1.2351
7200,1.6250,1.7770,1.5204
9000,1.5890,1.7318,1.4283
10800,1.5520,1.6904,1.3840
12600,1.5100,1.6522,1.4223
14400,1.4770,1.6172,1.4015
16200,1.4470,1.5847,1.3773
18000,1.4240,1.5548,1.3081
19800,1.3970,1.5272,1.3018
21600,1.3740,1.5017,1.2768
23400,1.3560,1.4781,1.2214
25200,1.3370,1.4564,1.1943
27000,1.3210,1.4364,1.1541
28800,1.3110,1.4180,1.0697
30600,1.2990,1.4010,1.0199
32400,1.2910,1.3854,0.9436
34200,1.2810,1.3710,0.9000
36000,1.2730,1.3578,0.8480
37800,1.2660,1.3457,0.7968
39600,1.2600,1.3346,0.7455
41400,1.2530,1.3243,0.7134
43200,1.2480,1.3150,0.6696
45000,1.2440,1.3063,0.6234
46800,1.2400,1.2984,0.5843
48600,1.2360,1.2911,0.5515
50400,1.2330,1.2844,0.5145
52200,1.2290,1.2783,0.4928
54000,1.2260,1.2726,0.4659
55800,1.2230,1.2673,0.4433
57600,1.2210,1.2625,0.4147
59400,1.2190,1.2580,0.3897
61200,1.2180,1.2538,0.3580
63000,1.2160,1.2499,0.3393
64800,1.2140,1.2463,0.3232
66600,1.2130,1.2430,0.2997
68400,1.2120,1.2398,0.2784
70200,1.2110,1.2369,0.2591
72000,1.2100,1.2342,0.2418
73800,1.2090,1.2316,0.2261
75600,1.2080,1.2292,0.2121
77400,1.2070,1.2269,0.1995
79200,1.2060,1.2248,0.1882
81000,1.2060,1.2228,0.1682
82800,1.2050,1.2209,0.1593
84600,1.2050,1.2191,0.1415
86400,1.2040,1.2175,0.1346
88200,1.2040,1.2159,0.1186
90000,1.2030,1.2143,0.1135
91800,1.2030,1.2129,0.0991
93600,1.2030,1.2115,0.0854
95400,1.2030,1.2102,0.0724
97200,1.2020,1.2090,0.0701
99000,1.2020,1.2078,0.0583
100800,1.2020,1.2067,0.0470
102600,1.2020,1.2056,0.0363
104400,1.2020,1.2046,0.0260
106200,1.2010,1.2036,0.0262
108000,1.2010,1.2027,0.0168
109800,1.2010,1.2018,0.0078
111600,1.2010,1.2009,-0.0008
113400,1.2010,1.2001,-0.0091
115200,1.2010,1.1993,-0.0171
117000,1.2010,1.1985,-0.0247
118800,1.2010,1.1978,-0.0321
120600,1.2010,1.1971,-0.0392
122400,1.2010,1.1964,-0.0460
124200,1.2010,1.1957,-0.0526
126000,1.2000,1.1951,-0.0489
127800,1.2000,1.1945,-0.0550
129600,1.2000,1.1939,-0.0610
131400,1.2000,1.1933,-0.0667
133200,1.2000,1.1928,-0.0722
135000,1.2000,1.1922,-0.0776
136800,1.2000,1.1917,-0.0827
138600,1.2000,1.1912,-0.0877
140400,1.2000,1.1907,-0.0926
142200,1.2000,1.1903,-0.0973
144000,1.2000,1.1898,-0.1019
145800,1.2000,1.1894,-0.1063
147600,1.2000,1.1889,-0.1106
149400,1.2000,1.1885,-0.1148
151200,1.2000,1.1881,-0.1188
153000,1.2000,1.1877,-0.1228
154800,1.2000,1.1873,-0.1266
156600,1.2000,1.1870,-0.1303
158400,1.2000,1.1866,-0.1339
160200,1.2000,1.1863,-0.1375
162000,1.2000,1.1859,-0.1409
163800,1.2000,1.1856,-0.1443
165600,1.2000,1.1852,-0.1475
167400,1.2000,1.1849,-0.1507
169200,1.2000,1.1846,-0.1538
171000,1.2000,1.1843,-0.1569
172800,1.2000,1.1840,-0.1598
174600,1.2000,1.1837,-0.1627
176400,1.2000,1.1834,-0.1655
178200,1.2000,1.1832,-0.1683
180000,1.2000,1.1829,-0.1710
181800,1.2000,1.1826,-0.1736
183600,1.2000,1.1824,-0.1762
185400,1.2000,1.1821,-0.1787
187200,1.2000,1.1819,-0.1811
189000,1.2000,1.1816,-0.1836
190800,1.2000,1.1814,-0.1859
192600,1.2000,1.1812,-0.1882
194400,1.2000,1.1810,-0.1905
196200,1.2000,1.1807,-0.1927
198000,1.2000,1.1805,-0.1949
199800,1.2000,1.1803,-0.1970
201600,1.2000,1.1801,-0.1991
203400,1.2000,1.1799,-0.2011
205200,1.2000,1.1797,-0.2031
207000,1.2000,1.1795,-0.2051
208800,1.1990,1.1793,-0.1970
210600,1.1990,1.1791,-0.1989
212400,1.1990,1.1789,-0.2007
214200,1.1990,1.1787,-0.2025
216000,1.1990,1.1786,-0.2043
217800,1.1990,1.1784,-0.2061
219600,1.1990,1.1782,-0.2078
221400,1.1990,1.1781,-0.2095
223200,1.1990,1.1779,-0.2111
225000,1.1990,1.1777,-0.2128
226800,1.1990,1.1776,-0.2144
228600,1.1990,1.1774,-0.2160
230400,1.1990,1.1772,-0.2175
232200,1.1990,1.1771,-0.2190
234000,1.1990,1.1769,-0.2205
235800,1.1990,1.1768,-0.2220
237600,1.1990,1.1767,-0.2235
239400,1.1990,1.1765,-0.2249
241200,1.1980,1.1764,-0.2163
243000,1.1980,1.1762,-0.2177
244800,1.1980,1.1761,-0.2190
246600,1.1980,1.1760,-0.2204
248400,1.1980,1.1758,-0.2217
250200,1.1980,1.1757,-0.2230
252000,1.1980,1.1756,-0.2243
253800,1.1980,1.1754,-0.2255
255600,1.1980,1.1753,-0.2268
257400,1.1980,1.1752,-0.2280
259200,1.1980,1.1751,-0.2292
