表,行,列,值,单位
表1,t=100s,r=0.0cm,28.0001,℃
表2,t=100s,r=0.0cm,2.5500,kg/kg
表1,t=100s,r=0.5cm,28.0003,℃
表2,t=100s,r=0.5cm,2.5500,kg/kg
表1,t=100s,r=1.0cm,28.0040,℃
表2,t=100s,r=1.0cm,2.5500,kg/kg
表1,t=100s,r=1.5cm,28.0327,℃
表2,t=100s,r=1.5cm,2.5500,kg/kg
表1,t=100s,r=2.0cm,28.1801,℃
表2,t=100s,r=2.0cm,2.2470,kg/kg
表1,t=300s,r=0.0cm,28.0408,℃
表2,t=300s,r=0.0cm,2.5500,kg/kg
表1,t=300s,r=0.5cm,28.0635,℃
表2,t=300s,r=0.5cm,2.5500,kg/kg
表1,t=300s,r=1.0cm,28.1514,℃
表2,t=300s,r=1.0cm,2.5500,kg/kg
表1,t=300s,r=1.5cm,28.3681,℃
表2,t=300s,r=1.5cm,2.5492,kg/kg
表1,t=300s,r=2.0cm,28.8489,℃
表2,t=300s,r=2.0cm,2.0508,kg/kg
表1,t=600s,r=0.0cm,28.4533,℃
表2,t=600s,r=0.0cm,2.5500,kg/kg
表1,t=600s,r=0.5cm,28.5360,℃
表2,t=600s,r=0.5cm,2.5500,kg/kg
表1,t=600s,r=1.0cm,28.8039,℃
表2,t=600s,r=1.0cm,2.5500,kg/kg
表1,t=600s,r=1.5cm,29.3159,℃
表2,t=600s,r=1.5cm,2.5353,kg/kg
表1,t=600s,r=2.0cm,30.1652,℃
表2,t=600s,r=2.0cm,1.8770,kg/kg
表1,t=900s,r=0.0cm,29.3243,℃
表2,t=900s,r=0.0cm,2.5500,kg/kg
表1,t=900s,r=0.5cm,29.4583,℃
表2,t=900s,r=0.5cm,2.5500,kg/kg
表1,t=900s,r=1.0cm,29.8755,℃
表2,t=900s,r=1.0cm,2.5497,kg/kg
表1,t=900s,r=1.5cm,30.6161,℃
表2,t=900s,r=1.5cm,2.5045,kg/kg
表1,t=900s,r=2.0cm,31.7304,℃
表2,t=900s,r=2.0cm,1.7547,kg/kg
表1,t=1200s,r=0.0cm,30.5427,℃
表2,t=1200s,r=0.0cm,2.5500,kg/kg
表1,t=1200s,r=0.5cm,30.7098,℃
表2,t=1200s,r=0.5cm,2.5500,kg/kg
表1,t=1200s,r=1.0cm,31.2223,℃
表2,t=1200s,r=1.0cm,2.5482,kg/kg
表1,t=1200s,r=1.5cm,32.1126,℃
表2,t=1200s,r=1.5cm,2.4646,kg/kg
表1,t=1200s,r=2.0cm,33.4276,℃
表2,t=1200s,r=2.0cm,1.6586,kg/kg
表1,t=1500s,r=0.0cm,31.9957,℃
表2,t=1500s,r=0.0cm,2.5500,kg/kg
表1,t=1500s,r=0.5cm,32.1867,℃
表2,t=1500s,r=0.5cm,2.5499,kg/kg
表1,t=1500s,r=1.0cm,32.7660,℃
表2,t=1500s,r=1.0cm,2.5445,kg/kg
表1,t=1500s,r=1.5cm,33.7463,℃
表2,t=1500s,r=1.5cm,2.4206,kg/kg
表1,t=1500s,r=2.0cm,35.1203,℃
表2,t=1500s,r=2.0cm,1.5787,kg/kg
表1,t=1800s,r=0.0cm,33.5753,℃
表2,t=1800s,r=0.0cm,2.5500,kg/kg
表1,t=1800s,r=0.5cm,33.7720,℃
表2,t=1800s,r=0.5cm,2.5497,kg/kg
表1,t=1800s,r=1.0cm,34.3642,℃
表2,t=1800s,r=1.0cm,2.5383,kg/kg
表1,t=1800s,r=1.5cm,35.3621,℃
表2,t=1800s,r=1.5cm,2.3755,kg/kg
表1,t=1800s,r=2.0cm,36.7856,℃
表2,t=1800s,r=2.0cm,1.5102,kg/kg
表3,t=0.5h,r=0.0cm,32.1892,℃
表4,t=0.5h,r=0.0cm,2.5499,kg/kg
表3,t=0.5h,r=0.5cm,32.3821,℃
表4,t=0.5h,r=0.5cm,2.5489,kg/kg
表3,t=0.5h,r=1.0cm,32.9659,℃
表4,t=0.5h,r=1.0cm,2.5256,kg/kg
表3,t=0.5h,r=1.5cm,33.9608,℃
表4,t=0.5h,r=1.5cm,2.3257,kg/kg
表3,t=0.5h,r=2.0cm,35.4130,℃
表4,t=0.5h,r=2.0cm,1.6486,kg/kg
表3,t=1.0h,r=0.0cm,40.3816,℃
表4,t=1.0h,r=0.0cm,2.5258,kg/kg
表3,t=1.0h,r=0.5cm,40.5536,℃
表4,t=1.0h,r=0.5cm,2.4948,kg/kg
表3,t=1.0h,r=1.0cm,41.0605,℃
表4,t=1.0h,r=1.0cm,2.3578,kg/kg
表3,t=1.0h,r=1.5cm,41.8782,℃
表4,t=1.0h,r=1.5cm,2.0230,kg/kg
表3,t=1.0h,r=2.0cm,42.9976,℃
表4,t=1.0h,r=2.0cm,1.4711,kg/kg
表3,t=1.5h,r=0.0cm,45.8468,℃
表4,t=1.5h,r=0.0cm,2.3861,kg/kg
表3,t=1.5h,r=0.5cm,45.9348,℃
表4,t=1.5h,r=0.5cm,2.3256,kg/kg
表3,t=1.5h,r=1.0cm,46.1930,℃
表4,t=1.5h,r=1.0cm,2.1344,kg/kg
表3,t=1.5h,r=1.5cm,46.6051,℃
表4,t=1.5h,r=1.5cm,1.8020,kg/kg
表3,t=1.5h,r=2.0cm,47.1401,℃
表4,t=1.5h,r=2.0cm,1.3476,kg/kg
表3,t=2.0h,r=0.0cm,48.4502,℃
表4,t=2.0h,r=0.0cm,2.1709,kg/kg
表3,t=2.0h,r=0.5cm,48.4881,℃
表4,t=2.0h,r=0.5cm,2.1084,kg/kg
表3,t=2.0h,r=1.0cm,48.5984,℃
表4,t=2.0h,r=1.0cm,1.9236,kg/kg
表3,t=2.0h,r=1.5cm,48.7735,℃
表4,t=2.0h,r=1.5cm,1.6259,kg/kg
表3,t=2.0h,r=2.0cm,49.0033,℃
表4,t=2.0h,r=2.0cm,1.2311,kg/kg
表3,t=2.5h,r=0.0cm,49.4670,℃
表4,t=2.5h,r=0.0cm,1.9566,kg/kg
表3,t=2.5h,r=0.5cm,49.4792,℃
表4,t=2.5h,r=0.5cm,1.9006,kg/kg
表3,t=2.5h,r=1.0cm,49.5136,℃
表4,t=2.5h,r=1.0cm,1.7360,kg/kg
表3,t=2.5h,r=1.5cm,49.5653,℃
表4,t=2.5h,r=1.5cm,1.4720,kg/kg
表3,t=2.5h,r=2.0cm,49.6609,℃
表4,t=2.5h,r=2.0cm,1.1166,kg/kg
表3,t=3.0h,r=0.0cm,49.8495,℃
表4,t=3.0h,r=0.0cm,1.7662,kg/kg
表3,t=3.0h,r=0.5cm,49.8553,℃
表4,t=3.0h,r=0.5cm,1.7165,kg/kg
表3,t=3.0h,r=1.0cm,49.8746,℃
表4,t=3.0h,r=1.0cm,1.5702,kg/kg
表3,t=3.0h,r=1.5cm,49.9101,℃
表4,t=3.0h,r=1.5cm,1.3333,kg/kg
表3,t=3.0h,r=2.0cm,49.9664,℃
表4,t=3.0h,r=2.0cm,1.0081,kg/kg
表5,t=6h,r=0.0cm,1.0156,kg/kg
表5,t=6h,r=0.5cm,0.9868,kg/kg
表5,t=6h,r=1.0cm,0.9006,kg/kg
表5,t=6h,r=1.5cm,0.7546,kg/kg
表5,t=6h,r=2.0cm,0.5335,kg/kg
表5,t=12h,r=0.0cm,0.4548,kg/kg
表5,t=12h,r=0.5cm,0.4418,kg/kg
表5,t=12h,r=1.0cm,0.4019,kg/kg
表5,t=12h,r=1.5cm,0.3289,kg/kg
表5,t=12h,r=2.0cm,0.1639,kg/kg
表5,t=18h,r=0.0cm,0.2979,kg/kg
表5,t=18h,r=0.5cm,0.2906,kg/kg
表5,t=18h,r=1.0cm,0.2679,kg/kg
表5,t=18h,r=1.5cm,0.2247,kg/kg
表5,t=18h,r=2.0cm,0.0842,kg/kg
表5,t=24h,r=0.0cm,0.2371,kg/kg
表5,t=24h,r=0.5cm,0.2321,kg/kg
表5,t=24h,r=1.0cm,0.2161,kg/kg
