# surface_flux.csv —— 问题 1 表面量分项（fig14 的唯一数据源）
# 口径：j_w=rho_d,s*h_m*(U_s-C_env) [kg 水/(m²·s)]，正=脱湿；h_m=8e-7 m/s（附录2 延用）
# rho_d,s=(650+128*U_s)/(1+U_s) [kg/m³]（附录2 湿密度 ρ=650+128C 除以 1+C，同 latent_scenario.py 口径）
# D_s=D_附2(C_s)=7e-9*exp(-0.89/C_s) [m²/s]；C_env 为附件1 环境水分（线性插值到 1 s 网格）
# 生成：python plot_all.py fig14
t_s,Cs_kg_kg,Ts_K,rho_d_s_kg_m3,j_w_kg_m2_s,D_s_m2_s,C_env_kg_kg
1,2.517335,301.1502,276.4078,5.523066e-04,4.915343e-09,0.019637
2,2.504220,301.1505,276.9632,5.505093e-04,4.906251e-09,0.019643
3,2.494172,301.1510,277.3916,5.491294e-04,4.899231e-09,0.019650
4,2.485723,301.1515,277.7537,5.479674e-04,4.893292e-09,0.019656
5,2.478300,301.1521,278.0733,5.469451e-04,4.888048e-09,0.019663
6,2.471607,301.1527,278.3627,5.460223e-04,4.883296e-09,0.019669
7,2.465468,301.1534,278.6290,5.451749e-04,4.878920e-09,0.019676
8,2.459768,301.1541,278.8772,5.443874e-04,4.874840e-09,0.019682
9,2.454426,301.1549,279.1105,5.436487e-04,4.871003e-09,0.019689
10,2.449386,301.1558,279.3313,5.429509e-04,4.867370e-09,0.019695
11,2.444602,301.1566,279.5415,5.422881e-04,4.863910e-09,0.019702
12,2.440040,301.1575,279.7424,5.416556e-04,4.860601e-09,0.019708
13,2.435673,301.1585,279.9353,5.410497e-04,4.857423e-09,0.019715
14,2.431479,301.1595,280.1210,5.404673e-04,4.854363e-09,0.019721
15,2.427440,301.1605,280.3003,5.399060e-04,4.851407e-09,0.019728
16,2.423541,301.1615,280.4737,5.393637e-04,4.848546e-09,0.019734
17,2.419768,301.1626,280.6420,5.388386e-04,4.845770e-09,0.019741
18,2.416110,301.1637,280.8054,5.383293e-04,4.843073e-09,0.019747
19,2.412559,301.1649,280.9644,5.378345e-04,4.840448e-09,0.019754
20,2.409105,301.1660,281.1194,5.373530e-04,4.837889e-09,0.019760
21,2.405742,301.1672,281.2705,5.368838e-04,4.835391e-09,0.019766
22,2.402464,301.1684,281.4182,5.364261e-04,4.832950e-09,0.019773
