t_s,r_cm,T_num_C,T_analytic_C,abs_dev
100,0.0,28.00005316,28.00005331,1.493e-07
100,0.5,28.00034749,28.00034740,9.026e-08
100,1.0,28.00404585,28.00404565,1.941e-07
100,1.5,28.03270283,28.03270262,2.093e-07
100,2.0,28.18007260,28.18007141,1.191e-06
300,0.0,28.04078876,28.04079133,2.568e-06
300,0.5,28.06348847,28.06348807,4.038e-07
300,1.0,28.15139623,28.15139598,2.503e-07
300,1.5,28.36807032,28.36807025,7.263e-08
300,2.0,28.84885533,28.84885400,1.323e-06
600,0.0,28.45332660,28.45332973,3.128e-06
600,0.5,28.53603062,28.53603066,3.654e-08
600,1.0,28.80394416,28.80394428,1.240e-07
600,1.5,29.31591600,29.31591628,2.818e-07
600,2.0,30.16522917,30.16522872,4.545e-07
900,0.0,29.32429137,29.32429426,2.884e-06
900,0.5,29.45825025,29.45825062,3.768e-07
900,1.0,29.87545392,29.87545438,4.541e-07
900,1.5,30.61614194,30.61614243,4.982e-07
900,2.0,31.73040029,31.73040032,2.987e-08
1200,0.0,30.54271666,30.54271897,2.309e-06
1200,0.5,30.70976821,30.70976871,4.940e-07
1200,1.0,31.22234847,31.22234900,5.237e-07
1200,1.5,32.11255865,32.11255918,5.284e-07
1200,2.0,33.42763579,33.42763583,3.547e-08
1500,0.0,31.99571835,31.99572005,1.694e-06
1500,0.5,32.18673334,32.18673395,6.122e-07
1500,1.0,32.76602040,32.76602104,6.340e-07
1500,1.5,33.74627705,33.74627767,6.184e-07
1500,2.0,35.12026078,35.12026147,6.853e-07
1800,0.0,33.57534401,33.57534483,8.135e-07
1800,0.5,33.77200137,33.77200192,5.502e-07
1800,1.0,34.36416032,34.36416080,4.719e-07
1800,1.5,35.36212415,35.36212459,4.443e-07
1800,2.0,36.78556010,36.78556035,2.527e-07
