t_s,R_data_cm,R_pred_cm,residual_mm
0,2.0000,1.9813,-0.1875
1800,1.8730,1.9444,0.7143
3600,1.7940,1.8938,0.9980
5400,1.7030,1.8486,1.4558
7200,1.6250,1.8075,1.8255
9000,1.5890,1.7698,1.8076
10800,1.5520,1.7346,1.8257
12600,1.5100,1.7015,1.9154
14400,1.4770,1.6704,1.9336
16200,1.4470,1.6408,1.9382
18000,1.4240,1.6128,1.8877
19800,1.3970,1.5861,1.8908
21600,1.3740,1.5607,1.8669
23400,1.3560,1.5365,1.8053
25200,1.3370,1.5136,1.7657
27000,1.3210,1.4918,1.7076
28800,1.3110,1.4711,1.6010
30600,1.2990,1.4515,1.5255
32400,1.2910,1.4331,1.4209
34200,1.2810,1.4157,1.3470
36000,1.2730,1.3994,1.2637
37800,1.2660,1.3841,1.1806
39600,1.2600,1.3697,1.0974
41400,1.2530,1.3564,1.0339
43200,1.2480,1.3440,0.9595
45000,1.2440,1.3324,0.8841
46800,1.2400,1.3217,0.8170
48600,1.2360,1.3118,0.7579
50400,1.2330,1.3026,0.6964
52200,1.2290,1.2942,0.6519
54000,1.2260,1.2864,0.6039
55800,1.2230,1.2792,0.5621
57600,1.2210,1.2726,0.5160
59400,1.2190,1.2665,0.4751
61200,1.2180,1.2609,0.4291
63000,1.2160,1.2559,0.3994
64800,1.2140,1.2523,0.3834
66600,1.2130,1.2478,0.3479
68400,1.2120,1.2447,0.3265
70200,1.2110,1.2413,0.3031
72000,1.2100,1.2383,0.2826
73800,1.2090,1.2353,0.2630
75600,1.2080,1.2329,0.2489
77400,1.2070,1.2305,0.2354
79200,1.2060,1.2283,0.2235
81000,1.2060,1.2263,0.2027
82800,1.2050,1.2243,0.1929
84600,1.2050,1.2224,0.1741
86400,1.2040,1.2206,0.1661
88200,1.2040,1.2189,0.1488
90000,1.2030,1.2172,0.1422
91800,1.2030,1.2156,0.1262
93600,1.2030,1.2141,0.1108
95400,1.2030,1.2126,0.0960
97200,1.2020,1.2112,0.0916
99000,1.2020,1.2098,0.0777
100800,1.2020,1.2084,0.0643
102600,1.2020,1.2071,0.0512
104400,1.2020,1.2058,0.0385
106200,1.2010,1.2046,0.0361
108000,1.2010,1.2034,0.0240
109800,1.2010,1.2022,0.0121
111600,1.2010,1.2010,0.0004
113400,1.2010,1.1998,-0.0115
115200,1.2010,1.1984,-0.0261
117000,1.2010,1.1971,-0.0393
118800,1.2010,1.1959,-0.0514
120600,1.2010,1.1947,-0.0627
122400,1.2010,1.1937,-0.0734
124200,1.2010,1.1926,-0.0837
126000,1.2000,1.1916,-0.0836
127800,1.2000,1.1907,-0.0930
129600,1.2000,1.1898,-0.1021
131400,1.2000,1.1889,-0.1110
133200,1.2000,1.1881,-0.1195
135000,1.2000,1.1872,-0.1277
136800,1.2000,1.1864,-0.1358
138600,1.2000,1.1856,-0.1435
140400,1.2000,1.1849,-0.1511
142200,1.2000,1.1842,-0.1584
144000,1.2000,1.1834,-0.1656
145800,1.2000,1.1827,-0.1725
147600,1.2000,1.1821,-0.1793
149400,1.2000,1.1814,-0.1859
151200,1.2000,1.1808,-0.1924
153000,1.2000,1.1801,-0.1987
154800,1.2000,1.1795,-0.2048
156600,1.2000,1.1789,-0.2108
158400,1.2000,1.1783,-0.2167
160200,1.2000,1.1778,-0.2224
162000,1.2000,1.1772,-0.2280
163800,1.2000,1.1767,-0.2335
165600,1.2000,1.1761,-0.2389
167400,1.2000,1.1756,-0.2441
169200,1.2000,1.1751,-0.2492
171000,1.2000,1.1746,-0.2543
172800,1.2000,1.1741,-0.2592
174600,1.2000,1.1736,-0.2640
176400,1.2000,1.1731,-0.2687
178200,1.2000,1.1727,-0.2734
180000,1.2000,1.1722,-0.2779
181800,1.2000,1.1718,-0.2824
183600,1.2000,1.1713,-0.2867
185400,1.2000,1.1709,-0.2910
187200,1.2000,1.1705,-0.2952
189000,1.2000,1.1701,-0.2993
190800,1.2000,1.1697,-0.3034
192600,1.2000,1.1693,-0.3074
194400,1.2000,1.1689,-0.3113
196200,1.2000,1.1685,-0.3151
198000,1.2000,1.1681,-0.3188
199800,1.2000,1.1677,-0.3225
201600,1.2000,1.1674,-0.3262
203400,1.2000,1.1670,-0.3297
205200,1.2000,1.1667,-0.3332
207000,1.2000,1.1663,-0.3367
208800,1.1990,1.1660,-0.3301
210600,1.1990,1.1657,-0.3334
212400,1.1990,1.1653,-0.3367
214200,1.1990,1.1650,-0.3399
216000,1.1990,1.1647,-0.3430
217800,1.1990,1.1644,-0.3462
219600,1.1990,1.1641,-0.3492
221400,1.1990,1.1638,-0.3522
223200,1.1990,1.1635,-0.3552
225000,1.1990,1.1632,-0.3581
226800,1.1990,1.1629,-0.3610
228600,1.1990,1.1626,-0.3638
230400,1.1990,1.1623,-0.3666
232200,1.1990,1.1621,-0.3693
234000,1.1990,1.1618,-0.3720
235800,1.1990,1.1615,-0.3746
237600,1.1990,1.1613,-0.3772
239400,1.1990,1.1610,-0.3798
241200,1.1980,1.1608,-0.3723
243000,1.1980,1.1605,-0.3748
244800,1.1980,1.1603,-0.3773
246600,1.1980,1.1600,-0.3797
248400,1.1980,1.1598,-0.3821
250200,1.1980,1.1596,-0.3844
252000,1.1980,1.1593,-0.3867
253800,1.1980,1.1591,-0.3890
255600,1.1980,1.1589,-0.3913
257400,1.1980,1.1587,-0.3935
259200,1.1980,1.1584,-0.3957
