t_s,umax
0.001,2.55
0.003,2.55
0.007,2.55
0.01397340317,2.55
0.0223810164,2.55
0.0313451176,2.55
0.04051825225,2.55
0.0497775174,2.55
0.0590810433,2.55
0.06841477644,2.55
0.07777405695,2.55
0.08715738015,2.55
0.09656429941,2.55
0.1059947228,2.55
0.1154486776,2.55
0.1249262311,2.55
0.1344274642,2.55
0.1439524628,2.55
0.1535013145,2.55
0.1630741078,2.55
0.1726709318,2.55
0.1822918759,2.55
0.1919370301,2.55
0.2016064844,2.55
0.2113003295,2.55
0.2210186563,2.55
0.2307615561,2.55
0.2405291207,2.55
0.250321442,2.55
0.2601386126,2.55
0.2699807251,2.55
0.2798478727,2.55
0.289740149,2.55
0.2996576478,2.55
0.3096004636,2.55
0.3195686908,2.55
0.3295624246,2.55
0.3395817603,2.55
0.3496267937,2.55
0.3596976211,2.55
0.3697943389,2.55
0.3799170441,2.55
0.390065834,2.55
0.4002408063,2.55
0.410442059,2.55
0.4206696907,2.55
0.4309238001,2.55
0.4412044866,2.55
0.4515118497,2.55
0.4618459894,2.55
0.4722070061,2.55
0.4825950007,2.55
0.4930100743,2.55
0.5034523284,2.55
0.5139218651,2.55
0.5244187867,2.55
0.5349431959,2.55
0.5454951959,2.55
0.5560748903,2.55
0.5666823829,2.55
0.5773177782,2.55
0.5879811808,2.55
0.5986726959,2.55
0.6093924289,2.55
0.620140486,2.55
0.6309169733,2.55
0.6417219976,2.55
0.652555666,2.55
0.6634180862,2.55
0.6743093659,2.55
0.6852296137,2.55
0.6961789382,2.55
0.7071574486,2.55
0.7181652544,2.55
0.7292024657,2.55
0.7402691928,2.55
0.7513655465,2.55
0.762491638,2.55
0.7736475789,2.55
0.7848334812,2.55
0.7960494574,2.55
0.8072956202,2.55
0.8185720831,2.55
0.8298789595,2.55
0.8412163635,2.55
0.8525844097,2.55
0.863983213,2.55
0.8754128886,2.55
0.8868735524,2.55
0.8983653203,2.55
0.9098883091,2.55
0.9214426356,2.55
0.9330284173,2.55
0.9446457719,2.55
0.9562948177,2.55
0.9679756733,2.55
0.9796884578,2.55
0.9914332906,2.55
1.003210292,2.55
1.015019581,2.55
1.02686128,2.55
1.038735509,2.55
1.05064239,2.55
1.062582045,2.55
1.074554597,2.55
1.086560167,2.55
1.09859888,2.55
1.110670859,2.55
1.122776228,2.55
1.134915111,2.55
1.147087635,2.55
1.159293922,2.55
1.171534101,2.55
1.183808296,2.55
1.196116634,2.55
1.208459243,2.55
1.22083625,2.55
1.233247782,2.55
1.245693968,2.55
1.258174937,2.55
1.270690817,2.55
1.283241738,2.55
1.29582783,2.55
1.308449224,2.55
1.32110605,2.55
1.33379844,2.55
1.346526524,2.55
1.359290435,2.55
1.372090306,2.55
1.384926269,2.55
1.397798458,2.55
1.410707006,2.55
1.423652047,2.55
1.436633717,2.55
1.449652148,2.55
1.462707479,2.55
1.475799843,2.55
1.488929377,2.55
1.502096217,2.55
1.515300501,2.55
1.528542367,2.55
1.541821951,2.55
1.555139392,2.55
1.568494829,2.55
1.5818884,2.55
1.595320246,2.55
1.608790505,2.55
1.622299319,2.55
1.635846828,2.55
1.649433172,2.55
1.663058494,2.55
1.676722936,2.55
1.690426638,2.55
1.704169746,2.55
1.7179524,2.55
1.731774745,2.55
1.745636925,2.55
1.759539084,2.55
1.773481366,2.55
1.787463917,2.55
1.801486882,2.55
1.815550407,2.55
1.829654638,2.55
1.843799722,2.55
1.857985805,2.55
1.872213036,2.55
1.886481561,2.55
1.90079153,2.55
1.91514309,2.55
1.929536391,2.55
1.943971582,2.55
1.958448813,2.55
1.972968233,2.55
1.987529993,2.55
2.002134244,2.55
2.016781138,2.55
2.031470825,2.55
2.046203458,2.55
2.060979189,2.55
2.075798171,2.55
2.090660556,2.55
2.105566498,2.55
2.120516152,2.55
2.13550967,2.55
2.150547209,2.55
2.165628921,2.55
2.180754963,2.55
2.195925491,2.55
2.21114066,2.55
2.226400626,2.55
2.241705546,2.55
2.257055577,2.55
2.272450877,2.55
2.287891603,2.55
2.303377912,2.55
2.318909965,2.55
2.334487918,2.55
2.350111931,2.55
2.365782164,2.55
2.381498776,2.55
2.397261927,2.55
2.413071778,2.55
2.428928489,2.55
2.444832221,2.55
2.460783136,2.55
2.476781395,2.55
2.49282716,2.55
2.508920593,2.55
2.525061858,2.55
2.541251116,2.55
2.557488532,2.55
2.573774268,2.55
2.590108489,2.55
2.606491358,2.55
2.622923041,2.55
2.639403701,2.55
2.655933504,2.55
2.672512615,2.55
2.6891412,2.55
2.705819424,2.55
2.722547454,2.55
2.739325457,2.55
2.756153598,2.55
2.773032046,2.55
2.789960967,2.55
2.806940529,2.55
2.823970899,2.55
2.841052247,2.55
2.85818474,2.55
2.875368547,2.55
2.892603836,2.55
2.909890778,2.55
2.927229541,2.55
2.944620296,2.55
2.962063211,2.55
2.979558458,2.55
2.997106206,2.55
3.014706627,2.55
3.032359892,2.55
3.050066171,2.55
3.067825635,2.55
3.085638457,2.55
3.103504809,2.55
3.121424862,2.55
3.139398789,2.55
3.157426763,2.55
3.175508955,2.55
3.19364554,2.55
3.21183669,2.55
3.230082578,2.55
3.248383379,2.55
3.266739267,2.55
3.285150414,2.55
3.303616996,2.55
3.322139187,2.55
3.340717161,2.55
3.359351094,2.55
3.378041161,2.55
3.396787536,2.55
3.415590395,2.55
3.434449913,2.55
3.453366268,2.55
3.472339633,2.55
3.491370187,2.55
3.510458104,2.55
3.529603561,2.55
3.548806735,2.55
3.568067803,2.55
3.587386942,2.55
3.606764329,2.55
3.626200141,2.55
3.645694556,2.55
3.665247751,2.55
3.684859904,2.55
3.704531194,2.55
3.724261797,2.55
3.744051892,2.55
3.763901659,2.55
3.783811274,2.55
3.803780917,2.55
3.823810766,2.55
3.843901001,2.55
3.864051801,2.55
3.884263344,2.55
3.904535809,2.55
3.924869378,2.55
3.945264227,2.55
3.965720539,2.55
3.986238491,2.55
4.006818265,2.55
4.02746004,2.55
4.048163995,2.55
4.068930312,2.55
4.089759171,2.55
4.110650752,2.55
4.131605236,2.55
4.152622802,2.55
4.173703633,2.55
4.194847908,2.55
4.216055809,2.55
4.237327516,2.55
4.258663212,2.55
4.280063075,2.55
4.301527289,2.55
4.323056035,2.55
4.344649493,2.55
4.366307845,2.55
4.388031274,2.55
4.40981996,2.55
4.431674085,2.55
4.453593831,2.55
4.475579379,2.55
4.497630913,2.55
4.519748614,2.55
4.541932663,2.55
4.564183243,2.55
4.586500536,2.55
4.608884725,2.55
4.631335991,2.55
4.653854517,2.55
4.676440486,2.55
4.69909408,2.55
4.721815481,2.55
4.744604872,2.55
4.767462435,2.55
4.790388354,2.55
4.813382811,2.55
4.836445988,2.55
4.859578069,2.55
4.882779237,2.55
4.906049674,2.55
4.929389563,2.55
4.952799087,2.55
4.976278429,2.55
4.999827773,2.55
5.023447301,2.55
5.047137196,2.55
5.070897642,2.55
5.094728821,2.55
5.118630918,2.55
5.142604115,2.55
5.166648595,2.55
5.190764543,2.55
5.21495214,2.55
5.239211571,2.55
5.263543019,2.55
5.287946668,2.55
5.3124227,2.55
5.3369713,2.55
5.36159265,2.55
5.386286935,2.55
5.411054337,2.55
5.435895041,2.55
5.460809231,2.55
5.485797088,2.55
5.510858799,2.55
5.535994545,2.55
5.561204511,2.55
5.58648888,2.55
5.611847836,2.55
5.637281563,2.55
5.662790245,2.55
5.688374066,2.55
5.714033208,2.55
5.739767857,2.55
5.765578196,2.55
5.791464408,2.55
5.817426678,2.55
5.84346519,2.55
5.869580127,2.55
5.895771673,2.55
5.922040013,2.55
5.94838533,2.55
5.974807809,2.55
6.001307633,2.55
6.027884987,2.55
6.054540054,2.55
6.081273019,2.55
6.108084065,2.55
6.134973378,2.55
6.16194114,2.55
6.188987536,2.55
6.216112751,2.55
6.243316968,2.55
6.270600372,2.55
6.297963147,2.55
6.325405478,2.55
6.352927547,2.55
6.380529541,2.55
6.408211643,2.55
6.435974038,2.55
6.46381691,2.55
6.491740443,2.55
6.519744822,2.55
6.547830231,2.55
6.575996856,2.55
6.604244879,2.55
6.632574487,2.55
6.660985863,2.55
6.689479192,2.55
6.718054659,2.55
6.746712449,2.55
6.775452746,2.55
6.804275734,2.55
6.8331816,2.55
6.862170527,2.55
6.8912427,2.55
6.920398305,2.55
6.949637525,2.55
6.978960547,2.55
7.008367555,2.55
7.037858735,2.55
7.06743427,2.55
7.097094347,2.55
7.12683915,2.55
7.156668865,2.55
7.186583677,2.55
7.216583771,2.55
7.246669333,2.55
7.276840548,2.55
7.307097601,2.55
7.337440678,2.55
7.367869964,2.55
7.398385646,2.55
7.428987908,2.55
7.459676936,2.55
7.490452916,2.55
7.521316034,2.55
7.552266476,2.55
7.583304427,2.55
7.614430073,2.55
7.645643601,2.55
7.676945197,2.55
7.708335046,2.55
7.739813335,2.55
7.771380251,2.55
7.803035978,2.55
7.834780705,2.55
7.866614617,2.55
7.8985379,2.55
7.930550743,2.55
7.96265333,2.55
7.994845849,2.55
8.027128486,2.55
8.059501429,2.55
8.091964864,2.55
8.124518979,2.55
8.15716396,2.55
8.189899994,2.55
8.22272727,2.55
8.255645974,2.55
8.288656293,2.55
8.321758416,2.55
8.354952529,2.55
8.38823882,2.55
8.421617478,2.55
8.455088689,2.55
8.488652642,2.55
8.522309525,2.55
8.556059526,2.55
8.589902833,2.55
8.623839634,2.55
8.657870117,2.55
8.691994472,2.55
8.726212886,2.55
8.760525548,2.55
8.794932648,2.55
8.829434373,2.55
8.864030913,2.55
8.898722456,2.55
8.933509193,2.55
8.968391311,2.55
9.003369001,2.55
9.038442452,2.55
9.073611853,2.55
9.108877394,2.55
9.144239265,2.55
9.179697655,2.55
9.215252756,2.55
9.250904755,2.55
9.286653845,2.55
9.322500214,2.55
9.358444055,2.55
9.394485556,2.55
9.430624909,2.55
9.466862304,2.55
9.503197933,2.55
9.539631986,2.55
9.576164654,2.55
9.612796129,2.55
9.649526602,2.55
9.686356264,2.55
9.723285308,2.55
9.760313924,2.55
9.797442304,2.55
9.834670641,2.55
9.871999127,2.55
9.909427954,2.55
9.946957313,2.55
9.984587398,2.55
10.0223184,2.55
10.06015052,2.55
10.09808393,2.55
10.13611885,2.55
10.17425545,2.55
10.21249394,2.55
10.25083451,2.55
10.28927734,2.55
10.32782264,2.55
10.36647059,2.55
10.4052214,2.55
10.44407525,2.55
10.48303234,2.55
10.52209287,2.55
10.56125703,2.55
10.600525,2.55
10.639897,2.55
10.67937321,2.55
10.71895382,2.55
10.75863904,2.55
10.79842906,2.55
10.83832408,2.55
10.87832428,2.55
10.91842986,2.55
10.95864103,2.55
10.99895798,2.55
11.0393809,2.55
11.07990999,2.55
11.12054545,2.55
11.16128747,2.55
11.20213625,2.55
11.24309199,2.55
11.28415488,2.55
11.32532512,2.55
11.36660292,2.55
11.40798846,2.55
11.44948194,2.55
11.49108357,2.55
11.53279353,2.55
11.57461204,2.55
11.61653928,2.55
11.65857546,2.55
11.70072078,2.55
11.74297542,2.55
11.7853396,2.55
11.82781351,2.55
11.87039736,2.55
11.91309133,2.55
11.95589563,2.55
11.99881047,2.55
12.04183603,2.55
12.08497252,2.55
12.12822015,2.55
12.17157911,2.55
12.21504959,2.55
12.25863182,2.55
12.30232597,2.55
12.34613226,2.55
12.39005089,2.55
12.43408205,2.55
12.47822596,2.55
12.5224828,2.55
12.56685279,2.55
12.61133613,2.55
12.65593301,2.55
12.70064364,2.55
12.74546823,2.55
12.79040698,2.55
12.83546008,2.55
12.88062775,2.55
12.92591018,2.55
12.97130758,2.55
13.01682016,2.55
13.06244811,2.55
13.10819165,2.55
13.15405097,2.55
13.20002628,2.55
13.24611779,2.55
13.2923257,2.55
13.33865021,2.55
13.38509153,2.55
13.43164987,2.55
13.47832543,2.55
13.52511842,2.55
13.57202904,2.55
13.6190575,2.55
13.666204,2.55
13.71346876,2.55
13.76085197,2.55
13.80835385,2.55
13.85597461,2.55
13.90371444,2.55
13.95157356,2.55
13.99955217,2.55
14.04765048,2.55
14.09586871,2.55
14.14420705,2.55
14.19266572,2.55
14.24124493,2.55
14.28994488,2.55
14.33876578,2.55
14.38770784,2.55
14.43677128,2.55
14.48595629,2.55
14.5352631,2.55
14.5846919,2.55
14.63424291,2.55
14.68391635,2.55
14.73371241,2.55
14.78363132,2.55
14.83367327,2.55
