t_s,R_att2_cm,U_mean_model,C_s_model,U_inferred_att2,R1_ideal_mean_cm,R3_crust_surface_cm,R3b_crust_mean_cm,R4_collapse_cm,R4b_crust_collapse_cm,R5_ideal_skeleton_cm,R5_pore_cm
0.000000000000000000e+00,2.000000000000000000e+00,2.549999802298342111e+00,2.490885199186080090e+00,2.549999999999999822e+00,1.999999944309391431e+00,1.999999944309391431e+00,1.999999944309391431e+00,1.899999957064336886e+00,1.899999957064336886e+00,1.999999938814766454e+00,1.999999938814766454e+00
1.800000000000000000e+03,1.872999999999999998e+00,2.344129002221345903e+00,1.130873219245611905e+00,2.113464487499999489e+00,1.941142106740066708e+00,1.941142106740066708e+00,1.941142106740066708e+00,1.854424106596753941e+00,1.854424106596753941e+00,1.935237967937333714e+00,1.935237967937333714e+00
3.600000000000000000e+03,1.794000000000000039e+00,2.185826090755743856e+00,9.833012440477767457e-01,1.856361949999999705e+00,1.894640652169044426e+00,1.894640652169044426e+00,1.894640652169044426e+00,1.818135743088028500e+00,1.818135743088028500e+00,1.883926212632061281e+00,1.883926212632061281e+00
5.400000000000000000e+03,1.703000000000000069e+00,2.038557407743905259e+00,8.993122327736496890e-01,1.573935487500000008e+00,1.850331499113834877e+00,1.850331499113834877e+00,1.850331499113834877e+00,1.783327795388421677e+00,1.783327795388421677e+00,1.834903148880002055e+00,1.834903148880002055e+00
7.200000000000000000e+03,1.625000000000000000e+00,1.897534163006209473e+00,8.249613722430571006e-01,1.343554687499999734e+00,1.806883290620202365e+00,1.806883290620202365e+00,1.806883290620202365e+00,1.748977860748833768e+00,1.748977860748833768e+00,1.786698792756265197e+00,1.786698792756265197e+00
9.000000000000000000e+03,1.589000000000000190e+00,1.765292660765930277e+00,7.499347032181548078e-01,1.240867387500000252e+00,1.765169316625455842e+00,1.765169316625455842e+00,1.765169316625455842e+00,1.715795596576040749e+00,1.715795596576040749e+00,1.740283532660018340e+00,1.740283532660018340e+00
1.080000000000000000e+04,1.552000000000000046e+00,1.643166453753855727e+00,6.839847016771458676e-01,1.137724799999999981e+00,1.725750770690703151e+00,1.725750770690703151e+00,1.725750770690703151e+00,1.684256160771099520e+00,1.684256160771099520e+00,1.696290955447341320e+00,1.696290955447341320e+00
1.260000000000000000e+04,1.510000000000000009e+00,1.529422125073614414e+00,6.266976074486644288e-01,1.023588750000000047e+00,1.688210028010287633e+00,1.688210028010287633e+00,1.688210028010287633e+00,1.654053761876506101e+00,1.654053761876506101e+00,1.654265825275829549e+00,1.654265825275829549e+00
1.440000000000000000e+04,1.477000000000000091e+00,1.423126041365565086e+00,5.763665866485713218e-01,9.361069875000000984e-01,1.652356760360938370e+00,1.652356760360938370e+00,1.652356760360938370e+00,1.625058306079289139e+00,1.625058306079289139e+00,1.614003793729536174e+00,1.614003793729536174e+00
1.620000000000000000e+04,1.447000000000000064e+00,1.323764022515939054e+00,5.325183753389306496e-01,8.582554875000001360e-01,1.618124117357160330e+00,1.618124117357160330e+00,1.618124117357160330e+00,1.597236115904519194e+00,1.597236115904519194e+00,1.575438022497243074e+00,1.575438022497243074e+00
