# 潜热对照情景（审计 A01）：表面相变汇 vs 无潜热基线；同一附录 3 物性、同一边界数据、同一 BE+局部外推框架；L_v=2.4e6 J/kg（近似值），
# j_w=rho_d,s*h_m*(U_s-C_env)，rho_d,s=(650+128*U_s)/(1+U_s) 表面局部干密度；情景假设，非题目给定。内部相变源情景未求解（量级见论文 §2.3-3）。
# t_f_base_h=57.180556
# t_f_latent_h=62.569444
# delta_t_f_h=+5.388889
# max_dTs_C=29.6003
# max_dTcenter_C=29.1673
# max_dUm=0.322018
# diag_1h: U_s=1.0768,T_s_C=13.3973,j_w=3.138177e-04,LjW_Wm2=753.16,hDT_Wm2=852.19
t_h,Ts_base_C,Ts_latent_C,Tcenter_base_C,Tcenter_latent_C,Um_base,Um_latent
1.0,42.9976,13.3973,40.3816,11.2143,2.064967,2.159096
2.0,49.0033,21.1531,48.4502,20.0844,1.690088,1.884888
3.0,49.9664,24.7309,49.8495,24.1233,1.382528,1.647893
4.0,49.9995,27.1434,49.9994,26.7259,1.135225,1.441351
5.0,50.1587,29.3910,50.1539,29.0247,0.937998,1.260016
6.0,50.1647,31.3619,50.1645,31.0302,0.781256,1.100743
7.0,50.1650,33.2435,50.1650,32.9341,0.657042,0.961469
8.0,50.1650,35.0526,50.1650,34.7631,0.558858,0.840424
9.0,50.1650,36.7829,50.1650,36.5134,0.481481,0.735956
10.0,50.1650,38.4205,50.1650,38.1718,0.420707,0.646443
11.0,50.1650,39.9506,50.1650,39.7236,0.373118,0.570293
12.0,50.1650,41.3601,50.1650,41.1555,0.335896,0.505957
13.0,50.1650,42.6390,50.1650,42.4571,0.306691,0.451950
14.0,50.1650,43.7804,50.1650,43.6212,0.283566,0.406867
15.0,50.1650,44.7811,50.1650,44.6440,0.264981,0.369392
16.0,50.1650,45.6415,50.1650,45.5257,0.249776,0.338311
17.0,50.1650,46.3671,50.1650,46.2710,0.237115,0.312523
18.0,50.1650,46.9685,50.1650,46.8899,0.226402,0.291054
19.0,50.1650,47.4605,50.1650,47.3969,0.217210,0.273070
20.0,50.1650,47.8604,50.1650,47.8091,0.209228,0.257885
21.0,50.1650,48.1853,50.1650,48.1437,0.202224,0.244946
22.0,50.1650,48.4501,50.1650,48.4164,0.196023,0.233819
23.0,50.1650,48.6674,50.1650,48.6397,0.190488,0.224163
24.0,50.1650,48.8470,50.1650,48.8242,0.185514,0.215713
25.0,50.1650,48.9967,50.1650,48.9777,0.181015,0.208259
26.0,50.1650,49.1225,50.1650,49.1065,0.176924,0.201636
27.0,50.1650,49.2290,50.1650,49.2154,0.173184,0.195713
28.0,50.1650,49.3198,50.1650,49.3083,0.169750,0.190382
29.0,50.1650,49.3979,50.1650,49.3879,0.166584,0.185559
30.0,50.1650,49.4654,50.1650,49.4568,0.163654,0.181173
31.0,50.1650,49.5242,50.1650,49.5167,0.160932,0.177165
32.0,50.1650,49.5756,50.1650,49.5690,0.158396,0.173487
33.0,50.1650,49.6209,50.1650,49.6151,0.156026,0.170098
34.0,50.1650,49.6609,50.1650,49.6558,0.153806,0.166965
35.0,50.1650,49.6965,50.1650,49.6920,0.151720,0.164057
36.0,50.1650,49.7283,50.1650,49.7242,0.149756,0.161352
37.0,50.1650,49.7568,50.1650,49.7532,0.147902,0.158826
38.0,50.1650,49.7824,50.1650,49.7792,0.146150,0.156463
39.0,50.1650,49.8056,50.1650,49.8027,0.144489,0.154245
40.0,50.1650,49.8266,50.1650,49.8239,0.142914,0.152159
41.0,50.1650,49.8457,50.1650,49.8433,0.141416,0.150193
42.0,50.1650,49.8632,50.1650,49.8609,0.139989,0.148336
43.0,50.1650,49.8791,50.1650,49.8771,0.138629,0.146579
44.0,50.1650,49.8937,50.1650,49.8919,0.137330,0.144913
45.0,50.1650,49.9072,50.1650,49.9055,0.136088,0.143331
46.0,50.1650,49.9196,50.1650,49.9180,0.134899,0.141827
47.0,50.1650,49.9311,50.1650,49.9296,0.133759,0.140393
48.0,50.1650,49.9417,50.1650,49.9403,0.132666,0.139026
49.0,50.1650,49.9515,50.1650,49.9503,0.131615,0.137720
50.0,50.1650,49.9607,50.1650,49.9595,0.130604,0.136470
51.0,50.1650,49.9692,50.1650,49.9681,0.129631,0.135274
52.0,50.1650,49.9772,50.1650,49.9762,0.128694,0.134127
53.0,50.1650,49.9846,50.1650,49.9837,0.127790,0.133025
54.0,50.1650,49.9916,50.1650,49.9907,0.126918,0.131967
55.0,50.1650,49.9982,50.1650,49.9973,0.126076,0.130950
56.0,50.1650,50.0043,50.1650,50.0035,0.125261,0.129970
57.0,50.1650,50.0101,50.1650,50.0094,0.124473,0.129026
