t_s,R_data_cm,R_pred_cm,residual_mm
0,2.0000,1.9809,-0.1912
1800,1.8730,1.9419,0.6889
3600,1.7940,1.8855,0.9149
5400,1.7030,1.8330,1.2998
7200,1.6250,1.7843,1.5932
9000,1.5890,1.7393,1.5033
10800,1.5520,1.6978,1.4578
12600,1.5100,1.6594,1.4936
14400,1.4770,1.6239,1.4690
16200,1.4470,1.5911,1.4410
18000,1.4240,1.5608,1.3678
19800,1.3970,1.5328,1.3576
21600,1.3740,1.5069,1.3286
23400,1.3560,1.4829,1.2694
25200,1.3370,1.4609,1.2387
27000,1.3210,1.4405,1.1950
28800,1.3110,1.4217,1.1073
30600,1.2990,1.4044,1.0545
32400,1.2910,1.3885,0.9754
34200,1.2810,1.3739,0.9290
36000,1.2730,1.3605,0.8745
37800,1.2660,1.3481,0.8210
39600,1.2600,1.3368,0.7676
41400,1.2530,1.3263,0.7334
43200,1.2480,1.3168,0.6878
45000,1.2440,1.3080,0.6399
46800,1.2400,1.2999,0.5992
48600,1.2360,1.2925,0.5650
50400,1.2330,1.2857,0.5267
52200,1.2290,1.2794,0.5039
54000,1.2260,1.2736,0.4759
55800,1.2230,1.2682,0.4524
57600,1.2210,1.2633,0.4229
59400,1.2190,1.2587,0.3971
61200,1.2180,1.2545,0.3646
63000,1.2160,1.2505,0.3452
64800,1.2140,1.2469,0.3285
66600,1.2130,1.2434,0.3044
68400,1.2120,1.2403,0.2826
70200,1.2110,1.2373,0.2629
72000,1.2100,1.2345,0.2451
73800,1.2090,1.2319,0.2290
75600,1.2080,1.2295,0.2146
77400,1.2070,1.2272,0.2017
79200,1.2060,1.2250,0.1901
81000,1.2060,1.2230,0.1698
82800,1.2050,1.2211,0.1606
84600,1.2050,1.2193,0.1425
86400,1.2040,1.2175,0.1354
88200,1.2040,1.2159,0.1192
90000,1.2030,1.2144,0.1139
91800,1.2030,1.2129,0.0993
93600,1.2030,1.2115,0.0855
95400,1.2030,1.2102,0.0723
97200,1.2020,1.2090,0.0698
99000,1.2020,1.2078,0.0578
100800,1.2020,1.2066,0.0465
102600,1.2020,1.2056,0.0356
104400,1.2020,1.2045,0.0252
106200,1.2010,1.2035,0.0253
108000,1.2010,1.2026,0.0158
109800,1.2010,1.2017,0.0067
111600,1.2010,1.2008,-0.0021
113400,1.2010,1.2000,-0.0105
115200,1.2010,1.1991,-0.0185
117000,1.2010,1.1984,-0.0262
118800,1.2010,1.1976,-0.0337
120600,1.2010,1.1969,-0.0408
122400,1.2010,1.1962,-0.0477
124200,1.2010,1.1956,-0.0544
126000,1.2000,1.1949,-0.0508
127800,1.2000,1.1943,-0.0570
129600,1.2000,1.1937,-0.0630
131400,1.2000,1.1931,-0.0687
133200,1.2000,1.1926,-0.0743
135000,1.2000,1.1920,-0.0797
136800,1.2000,1.1915,-0.0849
138600,1.2000,1.1910,-0.0900
140400,1.2000,1.1905,-0.0949
142200,1.2000,1.1900,-0.0996
144000,1.2000,1.1896,-0.1042
145800,1.2000,1.1891,-0.1087
147600,1.2000,1.1887,-0.1131
149400,1.2000,1.1883,-0.1173
151200,1.2000,1.1879,-0.1214
153000,1.2000,1.1875,-0.1253
154800,1.2000,1.1871,-0.1292
156600,1.2000,1.1867,-0.1330
158400,1.2000,1.1863,-0.1366
160200,1.2000,1.1860,-0.1402
162000,1.2000,1.1856,-0.1437
163800,1.2000,1.1853,-0.1470
165600,1.2000,1.1850,-0.1503
167400,1.2000,1.1846,-0.1535
169200,1.2000,1.1843,-0.1567
171000,1.2000,1.1840,-0.1597
172800,1.2000,1.1837,-0.1627
174600,1.2000,1.1834,-0.1656
176400,1.2000,1.1832,-0.1685
178200,1.2000,1.1829,-0.1712
180000,1.2000,1.1826,-0.1740
181800,1.2000,1.1823,-0.1766
183600,1.2000,1.1821,-0.1792
185400,1.2000,1.1818,-0.1817
187200,1.2000,1.1816,-0.1842
189000,1.2000,1.1813,-0.1866
190800,1.2000,1.1811,-0.1890
192600,1.2000,1.1809,-0.1913
194400,1.2000,1.1806,-0.1936
196200,1.2000,1.1804,-0.1958
198000,1.2000,1.1802,-0.1980
199800,1.2000,1.1800,-0.2002
201600,1.2000,1.1798,-0.2023
203400,1.2000,1.1796,-0.2043
205200,1.2000,1.1794,-0.2063
207000,1.2000,1.1792,-0.2083
208800,1.1990,1.1790,-0.2002
210600,1.1990,1.1788,-0.2021
212400,1.1990,1.1786,-0.2040
214200,1.1990,1.1784,-0.2058
216000,1.1990,1.1782,-0.2076
217800,1.1990,1.1781,-0.2094
219600,1.1990,1.1779,-0.2111
221400,1.1990,1.1777,-0.2128
223200,1.1990,1.1775,-0.2145
225000,1.1990,1.1774,-0.2162
226800,1.1990,1.1772,-0.2178
228600,1.1990,1.1771,-0.2194
230400,1.1990,1.1769,-0.2209
232200,1.1990,1.1768,-0.2225
234000,1.1990,1.1766,-0.2240
235800,1.1990,1.1765,-0.2254
237600,1.1990,1.1763,-0.2269
239400,1.1990,1.1762,-0.2283
241200,1.1980,1.1760,-0.2198
243000,1.1980,1.1759,-0.2211
244800,1.1980,1.1757,-0.2225
246600,1.1980,1.1756,-0.2239
248400,1.1980,1.1755,-0.2252
250200,1.1980,1.1753,-0.2265
252000,1.1980,1.1752,-0.2278
253800,1.1980,1.1751,-0.2291
255600,1.1980,1.1750,-0.2303
257400,1.1980,1.1748,-0.2315
259200,1.1980,1.1747,-0.2328
